"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Black Coupon","Position (m) Black Coupon","Force (N) Black Coupon","Speed (mm/min) Black Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Long 1","Position (m) Long 1","Force (N) Long 1","Speed (mm/min) Long 1","Time (s) Long 2","Position (m) Long 2","Force (N) Long 2","Speed (mm/min) Long 2","Time (s) Short 1","Position (m) Short 1","Force (N) Short 1","Speed (mm/min) Short 1","Time (s) Short 2","Position (m) Short 2","Force (N) Short 2","Speed (mm/min) Short 2","Time (s) Polythylene 1","Position (m) Polythylene 1","Force (N) Polythylene 1","Speed (mm/min) Polythylene 1","Time (s) Polythylene 2","Position (m) Polythylene 2","Force (N) Polythylene 2","Speed (mm/min) Polythylene 2","Time (s) Polythylene 3","Position (m) Polythylene 3","Force (N) Polythylene 3","Speed (mm/min) Polythylene 3"
,,,,27.800,-0.01723,77,-4.55E-4,,,,,27.800,-0.01929,-111,-37.87,27.800,-0.02409,-30,-57.24,,,,,,,,,,,,,,,,,27.800,-0.05471,-21,-110.87,27.800,-0.04198,-146,-90.88,27.800,-0.03144,-35,-60.85
,,,,28.000,-0.01723,77,9.10E-4,,,,,28.000,-0.01941,-111,-37.02,28.000,-0.02429,-31,-59.47,,,,,,,,,,,,,,,,,28.000,-0.05506,-22,-114.83,28.000,-0.04227,-144,-87.61,28.000,-0.03158,-29,-58.24
,,,,28.200,-0.01723,77,0.00,,,,,28.200,-0.01953,-111,-38.22,28.200,-0.02449,-30,-60.32,,,,,,,,,,,,,,,,,28.200,-0.05547,-24,-118.64,28.200,-0.04258,-145,-86.65,28.200,-0.03178,-30,-64.47
,,,,28.400,-0.01723,77,-3.99E-8,,,,,28.400,-0.01966,-112,-40.69,28.400,-0.02470,-31,-59.60,,,,,,,,,,,,,,,,,28.400,-0.05588,-24,-117.95,28.400,-0.04285,-143,-85.70,28.400,-0.03201,-33,-72.18
,,,,28.600,-0.01723,77,0.00,,,,,28.600,-0.01981,-114,-41.90,28.600,-0.02489,-30,-57.98,,,,,,,,,,,,,,,,,28.600,-0.05626,-23,-113.99,28.600,-0.04314,-143,-84.68,28.600,-0.03230,-37,-72.38
,,,,28.800,-0.01723,77,0.00,,,,,28.800,-0.01995,-116,-41.84,28.800,-0.02509,-30,-54.71,,,,,,,,,,,,,,,,,28.800,-0.05663,-21,-110.97,28.800,-0.04342,-144,-84.52,28.800,-0.03250,-33,-67.38
,,,,29.000,-0.01723,77,,,,,,29.000,-0.02008,-115,-42.29,29.000,-0.02527,-27,-51.13,,,,,,,,,,,,,,,,,29.000,-0.05700,-21,-110.87,29.000,-0.04370,-143,-84.99,29.000,-0.03274,-35,-65.07
,,,,,,,,,,,,29.200,-0.02022,-116,-43.90,29.200,-0.02542,33,-42.20,,,,,,,,,,,,,,,,,29.200,-0.05736,-21,-114.83,29.200,-0.04398,-143,-86.96,29.200,-0.03292,-31,-65.79
,,,,,,,,,,,,29.400,-0.02038,-117,-44.28,29.400,-0.02558,34,-27.48,,,,,,,,,,,,,,,,,29.400,-0.05775,-22,-120.77,29.400,-0.04428,-145,-88.06,29.400,-0.03318,-34,-66.42
,,,,,,,,,,,,29.600,-0.02053,-118,-41.85,29.600,-0.02562,33,-11.81,,,,,,,,,,,,,,,,,29.600,-0.05818,-25,-125.31,29.600,-0.04458,-146,-88.26,29.600,-0.03337,-32,-66.96
,,,,,,,,,,,,29.800,-0.02066,-117,-37.98,29.800,-0.02562,33,-1.81,,,,,,,,,,,,,,,,,29.800,-0.05860,-23,-125.04,29.800,-0.04486,-145,-90.58,29.800,-0.03362,-34,-64.36
,,,,,,,,,,,,30.000,-0.02078,-116,-35.79,30.000,-0.02562,34,-4.51E-4,,,,,,,,,,,,,,,,,30.000,-0.05902,-23,-121.77,30.000,-0.04516,-146,-91.88,30.000,-0.03383,-32,-58.69
,,,,,,,,,,,,30.200,-0.02089,-115,-34.35,30.200,-0.02562,33,0.00,,,,,,,,,,,,,,,,,30.200,-0.05941,-22,-119.83,30.200,-0.04550,-148,-91.70,30.200,-0.03401,-31,-55.64
,,,,,,,,,,,,30.400,-0.02102,-118,-32.48,30.400,-0.02562,34,0.00,,,,,,,,,,,,,,,,,30.400,-0.05980,-21,-120.87,30.400,-0.04577,-145,-90.24,30.400,-0.03415,-26,-58.22
,,,,,,,,,,,,30.600,-0.02111,-116,-31.21,30.600,-0.02562,33,0.00,,,,,,,,,,,,,,,,,30.600,-0.06021,-23,-122.46,30.600,-0.04609,-146,-86.78,30.600,-0.03441,-33,-65.13
,,,,,,,,,,,,30.800,-0.02121,-116,-35.39,30.800,-0.02562,33,0.00,,,,,,,,,,,,,,,,,30.800,-0.06063,-23,-121.16,30.800,-0.04639,-146,-83.13,30.800,-0.03460,-33,-69.38
,,,,,,,,,,,,31.000,-0.02132,-117,-43.12,31.000,-0.02562,33,,,,,,,,,,,,,,,,,,31.000,-0.06103,-22,-117.74,31.000,-0.04662,-142,-83.53,31.000,-0.03487,-37,-68.39
,,,,,,,,,,,,31.200,-0.02151,-123,-46.42,,,,,,,,,,,,,,,,,,,,,31.200,-0.06141,-20,-117.83,31.200,-0.04690,-143,-89.24,31.200,-0.03508,-34,-65.63
,,,,,,,,,,,,31.400,-0.02167,-125,-44.13,,,,,,,,,,,,,,,,,,,,,31.400,-0.06179,-20,-122.70,31.400,-0.04725,-148,-95.68,31.400,-0.03530,-34,-63.98
,,,,,,,,,,,,31.600,-0.02179,-123,-40.65,,,,,,,,,,,,,,,,,,,,,31.600,-0.06223,-23,-126.32,31.600,-0.04755,-146,-97.63,31.600,-0.03548,-32,-65.44
,,,,,,,,,,,,31.800,-0.02192,-122,-40.70,,,,,,,,,,,,,,,,,,,,,31.800,-0.06266,-23,-125.16,31.800,-0.04789,-146,-97.70,31.800,-0.03574,-35,-65.40
,,,,,,,,,,,,32.000,-0.02206,-124,-43.01,,,,,,,,,,,,,,,,,,,,,32.000,-0.06306,-23,-122.46,32.000,-0.04821,-146,-97.98,32.000,-0.03594,-34,-63.63
,,,,,,,,,,,,32.200,-0.02221,-125,-44.18,,,,,,,,,,,,,,,,,,,,,32.200,-0.06346,-22,-121.42,32.200,-0.04854,-146,-94.97,32.200,-0.03614,-33,-62.52
,,,,,,,,,,,,32.400,-0.02237,-127,-44.22,,,,,,,,,,,,,,,,,,,,,32.400,-0.06388,-23,-119.54,32.400,-0.04885,-144,-91.96,32.400,-0.03635,-32,-62.65
,,,,,,,,,,,,32.600,-0.02250,-127,-43.40,,,,,,,,,,,,,,,,,,,,,32.600,-0.06427,-21,-112.50,32.600,-0.04914,-143,-90.90,32.600,-0.03658,-34,-60.62
,,,,,,,,,,,,32.800,-0.02265,-127,-42.04,,,,,,,,,,,,,,,,,,,,,32.800,-0.06464,-21,-100.73,32.800,-0.04945,-144,-89.63,32.800,-0.03676,-31,-56.81
,,,,,,,,,,,,33.000,-0.02279,-127,-41.30,,,,,,,,,,,,,,,,,,,,,33.000,-0.06495,-18,-95.04,33.000,-0.04976,-145,-87.60,33.000,-0.03695,-32,-55.82
,,,,,,,,,,,,33.200,-0.02292,-127,-42.16,,,,,,,,,,,,,,,,,,,,,33.200,-0.06522,-16,-99.27,33.200,-0.05002,-142,-86.68,33.200,-0.03712,-31,-59.59
,,,,,,,,,,,,33.400,-0.02306,-128,-44.18,,,,,,,,,,,,,,,,,,,,,33.400,-0.06560,-22,-109.54,33.400,-0.05032,-143,-87.22,33.400,-0.03734,-33,-61.40
,,,,,,,,,,,,33.600,-0.02323,-131,-44.34,,,,,,,,,,,,,,,,,,,,,33.600,-0.06598,-24,-115.46,33.600,-0.05063,-145,-88.61,33.600,-0.03756,-35,-59.34
,,,,,,,,,,,,33.800,-0.02337,-131,-42.99,,,,,,,,,,,,,,,,,,,,,33.800,-0.06638,-24,-114.65,33.800,-0.05090,-143,-88.61,33.800,-0.03773,-32,-55.16
,,,,,,,,,,,,34.000,-0.02350,-130,-42.86,,,,,,,,,,,,,,,,,,,,,34.000,-0.06674,-23,-111.90,34.000,-0.05121,-144,-88.71,34.000,-0.03791,-31,-54.61
,,,,,,,,,,,,34.200,-0.02365,-131,-45.58,,,,,,,,,,,,,,,,,,,,,34.200,-0.06712,-21,-109.48,34.200,-0.05151,-145,-88.83,34.200,-0.03809,-31,-56.70
,,,,,,,,,,,,34.400,-0.02381,-133,-47.80,,,,,,,,,,,,,,,,,,,,,34.400,-0.06747,-21,-110.80,34.400,-0.05180,-144,-89.66,34.400,-0.03829,-33,-58.41
,,,,,,,,,,,,34.600,-0.02398,-135,-46.41,,,,,,,,,,,,,,,,,,,,,34.600,-0.06784,-22,-114.89,34.600,-0.05209,-145,-92.67,34.600,-0.03848,-32,-57.82
,,,,,,,,,,,,34.800,-0.02413,-136,-43.75,,,,,,,,,,,,,,,,,,,,,34.800,-0.06825,-24,-119.24,34.800,-0.05242,-146,-94.26,34.800,-0.03869,-33,-57.18
,,,,,,,,,,,,35.000,-0.02425,-134,-42.77,,,,,,,,,,,,,,,,,,,,,35.000,-0.06865,-24,-120.56,35.000,-0.05274,-146,-91.38,35.000,-0.03886,-32,-55.60
,,,,,,,,,,,,35.200,-0.02440,-135,-42.92,,,,,,,,,,,,,,,,,,,,,35.200,-0.06905,-24,-119.96,35.200,-0.05303,-145,-88.78,35.200,-0.03906,-33,-53.28
,,,,,,,,,,,,35.400,-0.02456,-136,-42.69,,,,,,,,,,,,,,,,,,,,,35.400,-0.06945,-22,-117.07,35.400,-0.05330,-143,-89.09,35.400,-0.03922,-31,-53.02
,,,,,,,,,,,,35.600,-0.02468,-136,-42.15,,,,,,,,,,,,,,,,,,,,,35.600,-0.06985,-23,-112.50,35.600,-0.05363,-146,-91.19,35.600,-0.03939,-31,-55.62
,,,,,,,,,,,,35.800,-0.02483,-137,-43.33,,,,,,,,,,,,,,,,,,,,,35.800,-0.07019,-21,-106.12,35.800,-0.05393,-143,-93.60,35.800,-0.03959,-33,-61.17
,,,,,,,,,,,,36.000,-0.02497,-139,-46.05,,,,,,,,,,,,,,,,,,,,,36.000,-0.07055,-20,-100.02,36.000,-0.05424,-144,-97.53,36.000,-0.03980,-34,-61.37
,,,,,,,,,,,,36.200,-0.02513,-140,-46.95,,,,,,,,,,,,,,,,,,,,,36.200,-0.07086,-20,-99.72,36.200,-0.05457,-145,-102.61,36.200,-0.04003,-36,-58.39
,,,,,,,,,,,,36.400,-0.02530,-143,-46.00,,,,,,,,,,,,,,,,,,,,,36.400,-0.07118,-20,-106.54,36.400,-0.05494,-146,-105.60,36.400,-0.04018,-32,-54.90
,,,,,,,,,,,,36.600,-0.02544,-141,-45.37,,,,,,,,,,,,,,,,,,,,,36.600,-0.07156,-25,-116.16,36.600,-0.05528,-145,-107.28,36.600,-0.04038,-34,-54.87
,,,,,,,,,,,,36.800,-0.02559,-141,-45.37,,,,,,,,,,,,,,,,,,,,,36.800,-0.07198,-25,-118.83,36.800,-0.05564,-145,-110.52,36.800,-0.04055,-32,-55.79
,,,,,,,,,,,,37.000,-0.02575,-143,-46.03,,,,,,,,,,,,,,,,,,,,,37.000,-0.07238,-25,-116.31,37.000,-0.05601,-146,-113.70,37.000,-0.04076,-33,-54.23
,,,,,,,,,,,,37.200,-0.02589,-143,-44.95,,,,,,,,,,,,,,,,,,,,,37.200,-0.07274,-23,-114.28,37.200,-0.05641,-146,-108.09,37.200,-0.04092,-31,-53.72
,,,,,,,,,,,,37.400,-0.02605,-144,-41.56,,,,,,,,,,,,,,,,,,,,,37.400,-0.07314,-23,-113.77,37.400,-0.05678,-144,-100.09,37.400,-0.04109,-31,-55.02
,,,,,,,,,,,,37.600,-0.02619,-143,-37.98,,,,,,,,,,,,,,,,,,,,,37.600,-0.07351,-22,-115.48,37.600,-0.05704,-139,-97.73,37.600,-0.04128,-32,-58.67
,,,,,,,,,,,,37.800,-0.02629,-142,-35.72,,,,,,,,,,,,,,,,,,,,,37.800,-0.07388,-21,-115.70,37.800,-0.05739,-143,-102.77,37.800,-0.04149,-32,-59.08
,,,,,,,,,,,,38.000,-0.02641,-142,-36.03,,,,,,,,,,,,,,,,,,,,,38.000,-0.07430,-23,-117.13,38.000,-0.05776,-144,-106.39,38.000,-0.04170,-33,-58.39
,,,,,,,,,,,,38.200,-0.02654,-143,-31.21,,,,,,,,,,,,,,,,,,,,,38.200,-0.07466,-21,-117.03,38.200,-0.05811,-144,-101.35,38.200,-0.04187,-31,-57.78
,,,,,,,,,,,,38.400,-0.02666,-144,-24.18,,,,,,,,,,,,,,,,,,,,,38.400,-0.07508,-22,-116.20,38.400,-0.05844,-142,-95.87,38.400,-0.04208,-33,-59.81
,,,,,,,,,,,,38.600,-0.02667,-137,-20.82,,,,,,,,,,,,,,,,,,,,,38.600,-0.07545,-22,-117.18,38.600,-0.05873,-141,-93.92,38.600,-0.04226,-32,-60.67
,,,,,,,,,,,,38.800,-0.02677,-136,-22.36,,,,,,,,,,,,,,,,,,,,,38.800,-0.07584,-23,-117.76,38.800,-0.05905,-141,-98.42,38.800,-0.04249,-34,-58.27
,,,,,,,,,,,,39.000,-0.02685,-140,-25.42,,,,,,,,,,,,,,,,,,,,,39.000,-0.07624,-23,-119.51,39.000,-0.05938,-142,-104.98,39.000,-0.04267,-31,-55.32
,,,,,,,,,,,,39.200,-0.02693,-140,-30.83,,,,,,,,,,,,,,,,,,,,,39.200,-0.07664,-23,-116.05,39.200,-0.05976,-144,-107.94,39.200,-0.04284,-31,-53.13
,,,,,,,,,,,,39.400,-0.02702,-141,-39.33,,,,,,,,,,,,,,,,,,,,,39.400,-0.07704,-22,-101.31,39.400,-0.06012,-144,-104.68,39.400,-0.04302,-30,-53.72
,,,,,,,,,,,,39.600,-0.02722,-150,-43.71,,,,,,,,,,,,,,,,,,,,,39.600,-0.07736,-20,-83.54,39.600,-0.06047,-143,-95.78,39.600,-0.04320,-31,-53.62
,,,,,,,,,,,,39.800,-0.02735,-152,-40.24,,,,,,,,,,,,,,,,,,,,,39.800,-0.07754,-14,-81.54,39.800,-0.06077,-141,-87.39,39.800,-0.04338,-32,-53.28
,,,,,,,,,,,,40.000,-0.02747,-152,-34.90,,,,,,,,,,,,,,,,,,,,,40.000,-0.07780,-14,-95.98,40.000,-0.06103,-139,-85.57,40.000,-0.04355,-31,-52.07
,,,,,,,,,,,,40.200,-0.02757,-149,-33.82,,,,,,,,,,,,,,,,,,,,,40.200,-0.07823,-24,-111.63,40.200,-0.06131,-140,-90.06,40.200,-0.04373,-31,-52.26
,,,,,,,,,,,,40.400,-0.02770,-151,-35.27,,,,,,,,,,,,,,,,,,,,,40.400,-0.07860,-25,-114.28,40.400,-0.06164,-143,-93.87,40.400,-0.04389,-30,-55.33
,,,,,,,,,,,,40.600,-0.02780,-150,-39.48,,,,,,,,,,,,,,,,,,,,,40.600,-0.07898,-24,-110.62,40.600,-0.06196,-143,-95.02,40.600,-0.04409,-31,-58.66
,,,,,,,,,,,,40.800,-0.02794,-151,-42.84,,,,,,,,,,,,,,,,,,,,,40.800,-0.07933,-22,-112.62,40.800,-0.06226,-142,-96.55,40.800,-0.04431,-33,-60.54
,,,,,,,,,,,,41.000,-0.02811,-156,-43.17,,,,,,,,,,,,,,,,,,,,,41.000,-0.07970,-23,-116.90,41.000,-0.06259,-144,-98.96,41.000,-0.04449,-33,-59.62
,,,,,,,,,,,,41.200,-0.02824,-155,-38.74,,,,,,,,,,,,,,,,,,,,,41.200,-0.08013,-25,-121.12,41.200,-0.06294,-145,-97.57,41.200,-0.04470,-33,-57.44
,,,,,,,,,,,,41.400,-0.02836,-154,-35.51,,,,,,,,,,,,,,,,,,,,,41.400,-0.08053,-25,-120.81,41.400,-0.06326,-144,-94.15,41.400,-0.04489,-33,-55.03
,,,,,,,,,,,,41.600,-0.02846,-151,-35.25,,,,,,,,,,,,,,,,,,,,,41.600,-0.08093,-25,-117.64,41.600,-0.06355,-142,-94.43,41.600,-0.04506,-32,-54.24
,,,,,,,,,,,,41.800,-0.02860,-154,-37.65,,,,,,,,,,,,,,,,,,,,,41.800,-0.08131,-23,-116.43,41.800,-0.06387,-143,-100.42,41.800,-0.04523,-31,-55.69
,,,,,,,,,,,,42.000,-0.02871,-153,-41.70,,,,,,,,,,,,,,,,,,,,,42.000,-0.08169,-23,-113.61,42.000,-0.06421,-145,-105.43,42.000,-0.04544,-32,-56.26
,,,,,,,,,,,,42.200,-0.02887,-156,-44.46,,,,,,,,,,,,,,,,,,,,,42.200,-0.08210,-23,-108.91,42.200,-0.06460,-147,-105.12,42.200,-0.04562,-33,-54.17
,,,,,,,,,,,,42.400,-0.02903,-159,-44.02,,,,,,,,,,,,,,,,,,,,,42.400,-0.08243,-21,-107.54,42.400,-0.06493,-146,-99.54,42.400,-0.04579,-30,-52.62
,,,,,,,,,,,,42.600,-0.02917,-159,-40.48,,,,,,,,,,,,,,,,,,,,,42.600,-0.08276,-20,-113.21,42.600,-0.06526,-144,-94.82,42.600,-0.04596,-30,-56.29
,,,,,,,,,,,,42.800,-0.02929,-157,-36.90,,,,,,,,,,,,,,,,,,,,,42.800,-0.08318,-24,-121.31,42.800,-0.06554,-143,-96.02,42.800,-0.04615,-31,-60.25
,,,,,,,,,,,,43.000,-0.02942,-156,-34.43,,,,,,,,,,,,,,,,,,,,,43.000,-0.08361,-24,-123.12,43.000,-0.06588,-144,-99.44,43.000,-0.04639,-33,-58.55
,,,,,,,,,,,,43.200,-0.02952,-156,-36.89,,,,,,,,,,,,,,,,,,,,,43.200,-0.08401,-23,-120.27,43.200,-0.06623,-144,-101.22,43.200,-0.04657,-32,-54.17
,,,,,,,,,,,,43.400,-0.02963,-155,-42.20,,,,,,,,,,,,,,,,,,,,,43.400,-0.08440,-22,-119.07,43.400,-0.06656,-143,-99.06,43.400,-0.04672,-29,-55.28
,,,,,,,,,,,,43.600,-0.02982,-162,-45.76,,,,,,,,,,,,,,,,,,,,,43.600,-0.08479,-23,-119.25,43.600,-0.06689,-143,-97.06,43.600,-0.04691,-30,-61.84
,,,,,,,,,,,,43.800,-0.02997,-163,-44.40,,,,,,,,,,,,,,,,,,,,,43.800,-0.08520,-22,-119.50,43.800,-0.06720,-143,-97.32,43.800,-0.04715,-35,-65.36
,,,,,,,,,,,,44.000,-0.03010,-162,-39.66,,,,,,,,,,,,,,,,,,,,,44.000,-0.08559,-23,-120.04,44.000,-0.06753,-143,-97.86,44.000,-0.04737,-34,-63.18
,,,,,,,,,,,,44.200,-0.03023,-162,-36.96,,,,,,,,,,,,,,,,,,,,,44.200,-0.08599,-24,-119.73,44.200,-0.06787,-143,-98.62,44.200,-0.04757,-32,-60.62
,,,,,,,,,,,,44.400,-0.03034,-161,-37.36,,,,,,,,,,,,,,,,,,,,,44.400,-0.08640,-24,-119.22,44.400,-0.06818,-141,-92.56,44.400,-0.04776,-32,-59.00
,,,,,,,,,,,,44.600,-0.03046,59,-35.87,,,,,,,,,,,,,,,,,,,,,44.600,-0.08678,-24,-118.91,44.600,-0.06852,-142,-82.70,44.600,-0.04797,-33,-57.57
,,,,,,,,,,,,44.800,-0.03062,59,-27.39,,,,,,,,,,,,,,,,,,,,,44.800,-0.08719,-22,-117.57,44.800,-0.06872,-137,-80.59,44.800,-0.04814,-30,-57.09
,,,,,,,,,,,,45.000,-0.03068,59,-13.62,,,,,,,,,,,,,,,,,,,,,45.000,-0.08759,-24,-115.16,45.000,-0.06898,-136,-89.46,45.000,-0.04834,-30,-58.71
,,,,,,,,,,,,45.200,-0.03068,59,-2.92,,,,,,,,,,,,,,,,,,,,,45.200,-0.08795,-24,-111.73,45.200,-0.06934,-141,-100.27,45.200,-0.04854,-31,-60.26
,,,,,,,,,,,,45.400,-0.03068,59,-4.53E-4,,,,,,,,,,,,,,,,,,,,,45.400,-0.08832,-23,-111.73,45.400,-0.06970,-144,-99.46,45.400,-0.04875,-31,-59.28
,,,,,,,,,,,,45.600,-0.03068,59,-4.53E-4,,,,,,,,,,,,,,,,,,,,,45.600,-0.08868,-23,-114.55,45.600,-0.07001,-142,-94.02,45.600,-0.04894,-31,-57.44
,,,,,,,,,,,,45.800,-0.03068,60,-9.07E-4,,,,,,,,,,,,,,,,,,,,,45.800,-0.08908,-24,-117.38,45.800,-0.07030,-140,-92.37,45.800,-0.04913,-31,-55.66
,,,,,,,,,,,,46.000,-0.03068,59,0.00,,,,,,,,,,,,,,,,,,,,,46.000,-0.08948,-24,-118.96,46.000,-0.07062,-142,-95.50,46.000,-0.04931,-30,-56.61
,,,,,,,,,,,,46.200,-0.03068,60,-4.53E-4,,,,,,,,,,,,,,,,,,,,,46.200,-0.08988,-25,-119.06,46.200,-0.07093,-142,-101.31,46.200,-0.04949,-29,-61.33
,,,,,,,,,,,,46.400,-0.03068,60,0.00,,,,,,,,,,,,,,,,,,,,,46.400,-0.09027,-24,-118.14,46.400,-0.07128,-143,-104.42,46.400,-0.04971,-32,-67.74
,,,,,,,,,,,,46.600,-0.03068,59,,,,,,,,,,,,,,,,,,,,,,46.600,-0.09067,-25,-116.65,46.600,-0.07166,-144,-103.28,46.600,-0.04996,-33,-70.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.800,-0.09105,-25,-114.93,46.800,-0.07198,-142,-97.54,46.800,-0.05020,-34,-67.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.000,-0.09143,-24,-113.06,47.000,-0.07230,-142,-88.47,47.000,-0.05040,-31,-66.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.200,-0.09180,-25,-114.75,47.200,-0.07259,-141,-79.87,47.200,-0.05062,-31,-67.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.400,-0.09217,-24,-116.52,47.400,-0.07282,-137,-76.40,47.400,-0.05086,-32,-69.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.600,-0.09260,-25,-115.86,47.600,-0.07306,-137,-81.62,47.600,-0.05109,-32,-67.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.800,-0.09297,-24,-112.21,47.800,-0.07336,-140,-90.97,47.800,-0.05131,-30,-64.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.000,-0.09333,-23,-111.29,48.000,-0.07368,-143,-96.44,48.000,-0.05151,-30,-62.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.200,-0.09369,-23,-116.67,48.200,-0.07401,-143,-95.28,48.200,-0.05173,-30,-60.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.400,-0.09410,-26,-122.04,48.400,-0.07433,-143,-92.08,48.400,-0.05192,-28,-59.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.600,-0.09453,-26,-123.35,48.600,-0.07461,-141,-91.06,48.600,-0.05211,-28,-61.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.800,-0.09493,-26,-121.51,48.800,-0.07492,-142,-92.14,48.800,-0.05233,-30,-62.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.000,-0.09533,-24,-118.91,49.000,-0.07525,-143,-92.43,49.000,-0.05254,-31,-60.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.200,-0.09573,-24,-117.48,49.200,-0.07555,-141,-90.14,49.200,-0.05273,-31,-57.41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.400,-0.09611,-24,-115.80,49.400,-0.07584,-141,-90.23,49.400,-0.05291,-29,-56.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.600,-0.09651,-23,-111.96,49.600,-0.07613,-141,-93.14,49.600,-0.05311,-30,-58.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.800,-0.09687,-23,-109.10,49.800,-0.07647,-143,-92.55,49.800,-0.05330,-30,-58.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.000,-0.09721,-21,-108.49,50.000,-0.07678,-144,-89.91,50.000,-0.05351,-31,-58.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.200,-0.09759,-23,-110.83,50.200,-0.07704,-141,-89.75,50.200,-0.05367,-28,-58.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.400,-0.09796,-23,-112.77,50.400,-0.07736,-144,-98.28,50.400,-0.05390,-30,-58.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.600,-0.09834,-24,-113.31,50.600,-0.07769,-145,-103.37,50.600,-0.05409,-30,-56.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.800,-0.09871,-24,-116.33,50.800,-0.07810,-148,-98.56,50.800,-0.05427,-29,-53.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.000,-0.09910,-24,-119.69,51.000,-0.07836,-142,-91.05,51.000,-0.05443,-27,-54.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.200,-0.09952,-26,-119.95,51.200,-0.07865,-142,-90.40,51.200,-0.05462,-28,-56.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.400,-0.09992,-25,-116.44,51.400,-0.07896,-142,-99.62,51.400,-0.05482,-30,-56.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.600,-0.10029,-22,-114.75,51.600,-0.07931,-143,-108.19,51.600,-0.05499,-29,-54.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.800,-0.10066,-22,-117.67,51.800,-0.07969,-146,-111.75,51.800,-0.05519,-31,-53.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.000,-0.10108,-23,-119.28,52.000,-0.08008,-146,-108.91,52.000,-0.05534,-28,-54.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.200,-0.10148,-24,-115.61,52.200,-0.08043,-144,-100.85,52.200,-0.05554,-30,-57.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.400,-0.10185,-21,-111.00,52.400,-0.08076,-144,-89.24,52.400,-0.05574,-30,-58.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.600,-0.10220,-21,-111.79,52.600,-0.08103,-141,-80.47,52.600,-0.05594,-31,-55.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.800,-0.10258,-23,-116.35,52.800,-0.08126,-138,-77.12,52.800,-0.05611,-29,-53.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.000,-0.10299,-25,-119.31,53.000,-0.08154,-141,-79.01,53.000,-0.05627,-28,-52.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.200,-0.10339,-26,-119.32,53.200,-0.08180,-142,-82.72,53.200,-0.05647,-30,-53.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.400,-0.10378,-24,-119.51,53.400,-0.08207,-144,-85.04,53.400,-0.05664,-29,-50.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.600,-0.10418,-25,-121.28,53.600,-0.08238,-146,-89.64,53.600,-0.05681,-29,-49.06
