"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
2.000,-0.00215,130,-186.91,2.000,-3.31158E-4,29,9.89,2.000,-1.22431E-5,0,0.31,2.000,-6.12596E-6,0,-0.94,2.000,-3.66230E-5,1,0.61,2.000,-1.22431E-5,0,0.92,2.000,6.13483E-6,0,0.31,2.000,-0.00157,95,-31.00,2.000,-3.66230E-5,1,1.51,2.000,1.72671E-4,-2,23.61,2.000,-0.00138,171,31.75,2.000,9.07415E-4,0,59.98,,,,
2.200,-0.00263,195,-99.60,2.200,-2.87223E-4,28,10.50,2.200,-1.22431E-5,0,1.53,2.200,-1.22431E-5,0,-0.31,2.200,-3.66230E-5,1,1.22,2.200,6.13483E-6,0,-4.96,2.200,6.13483E-6,0,-0.31,2.200,-0.00170,108,-31.99,2.200,-3.66230E-5,1,2.12,2.200,2.38408E-4,-1,27.88,2.200,-0.00126,183,40.09,2.200,0.00107,0,69.14,,,,
2.400,-0.00279,233,-50.17,2.400,-2.68381E-4,29,9.36,2.400,-6.12596E-6,0,1.53,2.400,-4.10957E-7,0,-0.39,2.400,-3.05412E-5,1,1.52,2.400,6.13483E-6,0,-41.67,2.400,-6.12596E-6,0,-1.84,2.400,-0.00179,119,-30.75,2.400,-4.26959E-5,2,0.61,2.400,3.34757E-4,-1,31.04,2.400,-0.00111,192,47.94,2.400,0.00129,0,88.12,,,,
2.600,-0.00290,304,-13.94,2.600,-2.24526E-4,29,7.52,2.600,6.13483E-6,0,1.84,2.600,-5.86586E-6,2,-1.09,2.600,-2.44507E-5,1,1.83,2.600,-1.17496E-4,5,-87.80,2.600,-6.12596E-6,0,-0.92,2.600,-0.00191,136,-25.14,2.600,-1.83513E-5,1,-0.88,2.600,4.74778E-4,-2,33.48,2.600,-9.41010E-4,196,54.28,2.600,0.00169,-1,104.68,,,,
2.800,-0.00289,350,7.73,2.800,-2.06698E-4,29,4.57,2.800,0.00000,0,0.92,2.800,-2.02217E-5,2,-2.31,2.800,-1.83513E-5,1,1.76,2.800,-7.21939E-4,34,-121.15,2.800,-1.83513E-5,1,0.92,2.800,-0.00197,145,-15.51,2.800,-4.26959E-5,2,-7.69,2.800,5.57178E-4,-1,34.31,2.800,-7.38676E-4,203,57.93,2.800,0.00205,-1,110.31,,,,
3.000,-0.00281,412,23.93,3.000,-1.98604E-4,30,1.49,3.000,1.84311E-5,-1,0.00,3.000,-1.41752E-5,2,-1.02,3.000,-1.22431E-5,0,0.47,3.000,-0.00102,53,-134.57,3.000,0.00000,0,1.22,3.000,-0.00202,157,-6.26,3.000,-5.41802E-5,2,-26.65,3.000,6.85598E-4,-2,34.36,3.000,-5.38947E-4,203,57.74,3.000,0.00240,-2,107.34,,,,
3.200,-0.00272,463,31.55,3.200,-2.02945E-4,32,0.21,3.200,0.00000,0,-0.92,3.200,-3.83085E-5,3,1.21,3.200,-7.55629E-6,1,-0.61,3.200,-0.00151,90,-121.66,3.200,6.13483E-6,0,-8.86E-4,3.200,-0.00199,157,-2.32,3.200,-1.60749E-4,7,-48.85,3.200,8.10211E-4,-2,35.15,3.200,-3.48690E-4,206,56.89,3.200,0.00278,-2,105.77,,,,
3.400,-0.00259,541,31.15,3.400,-1.98545E-4,33,0.18,3.400,6.13483E-6,0,-1.84,3.400,-8.11995E-6,2,1.81,3.400,-2.58363E-5,4,0.70,3.400,-0.00202,145,-91.26,3.400,-6.12596E-6,0,-0.92,3.400,-0.00202,164,-1.32,3.400,-4.33259E-4,19,-62.57,3.400,9.08968E-4,-1,35.40,3.400,-1.76242E-4,204,56.35,3.400,0.00310,-2,102.62,,,,
3.600,-0.00248,619,21.48,3.600,-2.02539E-4,35,0.01,3.600,-6.12596E-6,0,-1.23,3.600,-2.05586E-6,2,0.90,3.600,-1.69584E-5,6,5.10,3.600,-0.00216,174,-45.47,3.600,-1.22431E-5,0,-0.31,3.600,-0.00202,168,-1.07,3.600,-6.40573E-4,30,-63.64,3.600,0.00104,-2,36.53,3.600,3.64123E-5,208,56.01,3.600,0.00347,-2,99.26,,,,
3.800,-0.00243,713,3.96,3.800,-1.95461E-4,36,-1.46,3.800,-1.22431E-5,0,1.27E-16,3.800,-1.41752E-5,2,-1.21,3.800,1.11784E-5,7,12.06,3.800,-0.00220,189,-16.07,3.800,0.00000,0,-0.61,3.800,-0.00202,168,0.83,3.800,-8.25672E-4,41,-62.03,3.800,0.00117,-2,37.16,3.800,2.02976E-4,204,56.20,3.800,0.00377,-1,100.92,,,,
4.000,-0.00245,797,-12.93,4.000,-2.05804E-4,39,-3.05,4.000,-6.12596E-6,0,1.23,4.000,-1.41752E-5,2,-0.61,4.000,5.74057E-5,9,20.61,4.000,-0.00224,209,-7.88,4.000,-6.12596E-6,0,-1.53,4.000,-0.00201,167,1.16,4.000,-0.00104,54,-62.31,4.000,0.00128,-1,37.52,4.000,3.92333E-4,204,57.57,4.000,0.00410,-2,104.39,,,,
4.200,-0.00254,896,-24.08,4.200,-2.24560E-4,41,-6.50,4.200,6.13483E-6,0,0.61,4.200,-2.02217E-5,2,1.21,4.200,1.40960E-4,9,24.27,4.200,-0.00226,227,-3.60,4.200,-2.44507E-5,1,-0.61,4.200,-0.00201,167,-0.60,4.200,-0.00127,70,-56.24,4.200,0.00141,-1,41.03,4.200,5.91872E-4,203,61.14,4.200,0.00449,-1,110.94,,,,
4.400,-0.00263,975,-25.76,4.400,-2.34379E-4,44,-9.54,4.400,0.00000,0,0.31,4.400,-8.11995E-6,2,1.21,4.400,2.65393E-4,8,14.22,4.400,-0.00226,242,0.15,4.400,-1.83513E-5,1,0.61,4.400,-0.00201,167,-3.65,4.400,-0.00144,82,-41.76,4.400,0.00155,-1,44.08,4.400,7.98929E-4,206,62.35,4.400,0.00484,-1,113.71,,,,
