"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
27.800,-0.06484,2430,-270.44,27.800,0.00420,-25,-1.78,27.800,3.31669E-4,69,3.17,27.800,0.00385,137,41.53,27.800,0.01298,109,39.64,27.800,0.00541,-39,1.15,27.800,-2.51457E-4,998,9.45,27.800,0.00666,-31,-0.37,27.800,0.00662,-46,4.59,27.800,0.02457,134,45.88,27.800,0.03015,98,78.56,27.800,0.04895,133,74.82,,,,
28.000,-0.06489,2430,0.16,28.000,0.00420,-25,-0.71,28.000,3.62593E-4,68,3.17,28.000,0.00397,140,39.49,28.000,0.01311,110,39.57,28.000,0.00537,-38,1.18,28.000,-2.18564E-4,1021,10.32,28.000,0.00666,-31,-0.37,28.000,0.00661,-45,5.64,28.000,0.02473,138,42.92,28.000,0.03040,97,78.75,28.000,0.04918,135,74.70,,,,
28.200,-0.06583,2434,240.88,28.200,0.00421,-25,1.42,28.200,3.63238E-4,70,2.59,28.200,0.00411,138,37.75,28.200,0.01325,110,37.57,28.200,0.00537,-38,4.10,28.200,-1.79977E-4,1055,11.14,28.200,0.00667,-31,-1.10,28.200,0.00667,-46,5.68,28.200,0.02485,136,39.82,28.200,0.03066,100,79.13,28.200,0.04945,138,78.21,,,,
28.400,-0.06240,2420,-25.31,28.400,0.00421,-25,1.42,28.400,3.69939E-4,71,2.56,28.400,0.00423,136,36.30,28.400,0.01337,110,35.19,28.400,0.00541,-40,12.20,28.400,-1.45058E-4,1066,12.06,28.400,0.00665,-30,-1.83,28.400,0.00667,-45,6.13,28.400,0.02499,126,38.75,28.400,0.03093,99,81.56,28.400,0.04971,137,81.55,,,,
28.600,-0.06251,2420,-637.86,28.600,0.00422,-25,1.42,28.600,3.76112E-4,71,3.59,28.600,0.00434,138,34.52,28.600,0.01347,110,33.56,28.600,0.00544,-39,22.74,28.600,-1.02089E-4,1089,13.09,28.600,0.00664,-30,-0.37,28.600,0.00668,-45,10.99,28.600,0.02510,132,42.30,28.600,0.03120,99,82.59,28.600,0.04999,140,83.16,,,,
28.800,-0.06871,2445,-908.26,28.800,0.00422,-25,1.42,28.800,4.00912E-4,71,3.45,28.800,0.00446,138,33.05,28.800,0.01359,110,34.16,28.800,0.00554,-39,30.54,28.800,-5.52835E-5,1110,14.15,28.800,0.00664,-30,1.46,28.800,0.00672,-44,26.43,28.800,0.02525,142,49.10,28.800,0.03149,98,81.27,28.800,0.05027,141,85.24,,,,
29.000,-0.07227,2459,-563.12,29.000,0.00423,-26,0.71,29.000,4.03989E-4,72,3.61,29.000,0.00457,137,29.69,29.000,0.01370,111,36.29,29.000,0.00570,-40,34.83,29.000,-7.85497E-6,1129,15.01,29.000,0.00667,-31,1.10,29.000,0.00683,-44,46.97,29.000,0.02544,142,54.94,29.000,0.03175,97,78.10,29.000,0.05055,139,90.67,,,,
29.200,-0.07080,2454,-329.61,29.200,0.00423,-26,-0.36,29.200,4.10970E-4,73,4.28,29.200,0.00466,129,22.29,29.200,0.01383,111,37.82,29.200,0.00577,-38,36.12,29.200,4.36483E-5,1148,15.43,29.200,0.00666,-31,-9.96E-4,29.200,0.00705,-45,66.73,29.200,0.02564,142,56.22,29.200,0.03200,96,76.29,29.200,0.05086,141,99.24,,,,
29.400,-0.07168,2457,-495.26,29.400,0.00423,-26,-1.07,29.400,4.38271E-4,72,4.35,29.400,0.00473,124,16.48,29.400,0.01396,113,37.90,29.400,0.00591,-39,41.01,29.400,9.92173E-5,1166,15.44,29.400,0.00665,-30,0.00,29.400,0.00730,-45,77.24,29.400,0.02582,140,57.16,29.400,0.03225,97,76.62,29.400,0.05122,143,105.16,,,,
29.600,-0.07589,2473,-604.08,29.600,0.00421,-25,-0.71,29.600,4.52240E-4,73,3.63,29.600,0.00474,135,17.02,29.600,0.01408,113,36.65,29.600,0.00605,-39,47.69,29.600,1.46332E-4,1177,15.57,29.600,0.00666,-31,0.73,29.600,0.00759,-45,76.07,29.600,0.02600,143,60.45,29.600,0.03252,96,76.39,29.600,0.05158,143,102.80,,,,
29.800,-0.07709,2477,-392.75,29.800,0.00422,-25,-0.36,29.800,4.49791E-4,74,2.66,29.800,0.00482,139,23.36,29.800,0.01420,113,36.44,29.800,0.00624,-39,49.94,29.800,1.98182E-4,1189,15.40,29.800,0.00667,-31,-0.27,29.800,0.00783,-45,73.96,29.800,0.02622,144,65.80,29.800,0.03277,96,75.82,29.800,0.05192,142,94.44,,,,
30.000,-0.07748,2478,-307.67,30.000,0.00422,-25,-0.71,30.000,4.72016E-4,74,2.99,30.000,0.00492,139,30.14,30.000,0.01432,113,37.08,30.000,0.00639,-39,47.15,30.000,2.56064E-4,1204,12.85,30.000,0.00666,-31,-1.64,30.000,0.00803,-45,76.81,30.000,0.02644,147,68.93,30.000,0.03301,97,76.30,30.000,0.05221,136,87.97,,,,
30.200,-0.07795,2480,-296.00,30.200,0.00421,-25,-0.35,30.200,4.71637E-4,75,4.10,30.200,0.00503,137,32.16,30.200,0.01445,114,37.67,30.200,0.00656,-39,43.08,30.200,2.97396E-4,1209,9.58,30.200,0.00665,-30,-1.27,30.200,0.00833,-46,95.77,30.200,0.02669,146,66.98,30.200,0.03327,98,78.20,30.200,0.05248,136,85.91,,,,
30.400,-0.08118,2491,-477.73,30.400,0.00421,-25,1.78,30.400,4.90122E-4,75,3.65,30.400,0.00514,137,33.25,30.400,0.01458,114,37.99,30.400,0.00667,-39,42.74,30.400,3.04097E-4,1202,9.97,30.400,0.00665,-30,0.22,30.400,0.00862,-47,110.56,30.400,0.02691,142,61.23,30.400,0.03354,96,80.12,30.400,0.05278,139,87.21,,,,
30.600,-0.07930,2485,-592.76,30.600,0.00423,-26,1.42,30.600,5.13617E-4,75,3.63,30.600,0.00524,140,34.39,30.600,0.01470,114,36.80,30.600,0.00683,-39,45.06,30.600,3.41709E-4,1203,14.47,30.600,0.00665,-30,1.70,30.600,0.00916,-56,107.55,30.600,0.02709,140,55.65,30.600,0.03380,98,82.11,30.600,0.05306,138,87.99,,,,
30.800,-0.08568,2507,-582.98,30.800,0.00424,-26,0.00,30.800,5.02986E-4,77,4.46,30.800,0.00537,140,34.81,30.800,0.01483,113,35.06,30.800,0.00699,-39,49.04,30.800,4.11198E-4,1222,18.38,30.800,0.00666,-30,2.53,30.800,0.00942,-55,86.91,30.800,0.02726,139,54.67,30.800,0.03408,100,82.37,30.800,0.05337,138,86.68,,,,
31.000,-0.08531,2505,-765.17,31.000,0.00421,-25,0.00,31.000,5.31322E-4,77,5.87,31.000,0.00549,138,33.90,31.000,0.01493,115,34.30,31.000,0.00714,-39,50.24,31.000,4.79727E-4,1238,19.25,31.000,0.00667,-31,,31.000,0.00969,-56,64.25,31.000,0.02745,140,56.84,31.000,0.03437,97,81.00,31.000,0.05366,139,84.39,,,,
31.200,-0.08684,2510,-617.32,31.200,0.00423,-26,1.42,31.200,5.61590E-4,76,6.39,31.200,0.00559,139,32.16,31.200,0.01505,114,34.39,31.200,0.00733,-39,49.00,31.200,5.33675E-4,1247,18.05,,,,,31.200,0.00983,-56,57.46,31.200,0.02765,144,58.45,31.200,0.03462,95,77.35,31.200,0.05392,137,82.49,,,,
31.400,-0.09345,2531,-511.66,31.400,0.00424,-26,1.42,31.400,5.72329E-4,78,5.23,31.400,0.00570,138,31.82,31.400,0.01517,113,35.24,31.400,0.00749,-39,45.47,31.400,6.04329E-4,1258,19.00,,,,,31.400,0.01003,-55,60.93,31.400,0.02785,140,57.83,31.400,0.03489,95,73.73,31.400,0.05420,136,82.47,,,,
31.600,-0.08989,2520,-525.07,31.600,0.00424,-26,-0.71,31.600,5.89751E-4,78,5.00,31.600,0.00580,138,32.76,31.600,0.01528,116,35.38,31.600,0.00762,-40,41.96,31.600,6.47575E-4,1259,22.16,,,,,31.600,0.01023,-55,69.21,31.600,0.02803,143,57.50,31.600,0.03511,95,70.54,31.600,0.05448,140,81.95,,,,
31.800,-0.09249,2529,-719.75,31.800,0.00423,-26,-1.42,31.800,6.07680E-4,78,5.89,31.800,0.00591,140,34.28,31.800,0.01540,115,36.39,31.800,0.00776,-39,44.68,31.800,7.45735E-4,1275,25.03,,,,,31.800,0.01051,-56,71.64,31.800,0.02822,140,59.06,31.800,0.03535,93,68.36,31.800,0.05475,138,79.65,,,,
32.000,-0.09830,2546,-852.79,32.000,0.00423,-26,-1.42,32.000,6.26249E-4,78,5.93,32.000,0.00603,141,35.02,32.000,0.01552,116,38.35,32.000,0.00790,-38,50.27,32.000,8.35424E-4,1284,24.56,,,,,32.000,0.01074,-56,67.41,32.000,0.02843,144,61.34,32.000,0.03557,93,67.66,32.000,0.05501,135,78.33,,,,
32.200,-0.09943,2549,-581.45,32.200,0.00422,-25,-1.78,32.200,6.53554E-4,78,4.96,32.200,0.00615,139,33.30,32.200,0.01566,117,39.50,32.200,0.00811,-39,49.97,32.200,9.17083E-4,1284,19.76,,,,,32.200,0.01095,-55,63.70,32.200,0.02864,144,61.72,32.200,0.03580,95,69.08,32.200,0.05526,137,79.00,,,,
32.400,-0.10000,2551,-435.36,32.400,0.00421,-25,-0.35,32.400,6.62491E-4,79,4.20,32.400,0.00626,139,30.09,32.400,0.01579,118,40.11,32.400,0.00828,-39,44.69,32.400,9.67489E-4,1265,15.82,,,,,32.400,0.01113,-55,63.36,32.400,0.02884,144,60.57,32.400,0.03602,97,72.47,32.400,0.05554,138,79.67,,,,
32.600,-0.10242,2558,-290.64,32.600,0.00421,-25,1.78,32.600,6.70690E-4,80,4.18,32.600,0.00635,137,27.84,32.600,0.01592,117,39.57,32.600,0.00838,-39,39.86,32.600,0.00101,1234,29.72,,,,,32.600,0.01139,-56,61.25,32.600,0.02904,141,59.16,32.600,0.03628,97,75.47,32.600,0.05580,138,77.19,,,,
32.800,-0.10402,2563,-428.55,32.800,0.00424,-26,2.13,32.800,6.93158E-4,80,5.42,32.800,0.00644,139,27.74,32.800,0.01606,117,39.01,32.800,0.00852,-39,42.59,32.800,0.00106,1147,98.45,,,,,32.800,0.01157,-55,49.31,32.800,0.02924,141,58.83,32.800,0.03654,98,76.76,32.800,0.05606,136,67.56,,,,
33.000,-0.10123,2555,-815.82,33.000,0.00424,-26,0.71,33.000,7.06456E-4,80,6.67,33.000,0.00653,139,27.62,33.000,0.01618,118,38.87,33.000,0.00866,-39,46.77,33.000,0.00142,553,353.22,,,,,33.000,0.01174,-55,32.41,33.000,0.02942,142,59.16,33.000,0.03679,95,75.93,33.000,0.05628,134,52.32,,,,
33.200,-0.10976,2579,-843.04,33.200,0.00423,-26,-1.07,33.200,7.35031E-4,80,6.97,33.200,0.00663,136,27.09,33.200,0.01631,117,39.45,33.200,0.00885,-39,47.81,33.200,0.00253,84,535.75,,,,,33.200,0.01176,-54,17.29,33.200,0.02963,142,60.74,33.200,0.03704,95,75.75,33.200,0.05641,127,35.59,,,,
33.400,-0.11299,2587,-487.24,33.400,0.00423,-26,-2.13,33.400,7.62131E-4,81,7.87,33.400,0.00671,138,27.72,33.400,0.01644,119,41.37,33.400,0.00899,-39,45.84,33.400,0.00661,-74,466.63,,,,,33.400,0.01184,-56,9.95,33.400,0.02983,144,63.68,33.400,0.03729,95,76.76,33.400,0.05650,118,23.04,,,,
33.600,-0.10912,2577,-527.85,33.600,0.00422,-25,-1.78,33.600,7.76909E-4,82,8.21,33.600,0.00680,141,30.96,33.600,0.01659,120,42.24,33.600,0.00915,-39,42.83,33.600,0.00659,-73,206.86,,,,,33.600,0.01182,-55,10.84,33.600,0.03005,145,65.80,33.600,0.03755,97,79.07,33.600,0.05655,113,15.87,,,,
33.800,-0.11162,2584,-797.25,33.800,0.00420,-25,0.00,33.800,8.22046E-4,81,8.60,33.800,0.00691,143,34.19,33.800,0.01674,119,41.14,33.800,0.00927,-39,40.02,33.800,0.00669,-76,2.96,,,,,33.800,0.01189,-56,15.15,33.800,0.03028,144,65.27,33.800,0.03782,97,81.21,33.800,0.05660,110,10.49,,,,
34.000,-0.12169,2610,-387.64,34.000,0.00422,-25,1.42,34.000,8.39383E-4,81,8.52,34.000,0.00704,141,34.52,34.000,0.01686,120,38.78,34.000,0.00942,-39,40.31,34.000,0.00658,-73,0.28,,,,,34.000,0.01193,-55,24.77,34.000,0.03049,144,60.71,34.000,0.03810,97,83.09,34.000,0.05663,107,6.40,,,,
34.200,-0.11636,2596,-145.90,34.200,0.00423,-26,1.06,34.200,8.71576E-4,81,7.26,34.200,0.00715,139,32.12,34.200,0.01699,119,36.85,34.200,0.00952,-39,44.35,34.200,0.00667,-75,-0.23,,,,,34.200,0.01203,-55,34.19,34.200,0.03069,142,54.91,34.200,0.03837,98,84.77,34.200,0.05664,106,6.90,,,,
34.400,-0.11213,2585,-428.95,34.400,0.00422,-25,-1.07,34.400,8.97688E-4,82,6.89,34.400,0.00725,137,29.54,34.400,0.01711,118,36.77,34.400,0.00971,-40,48.50,34.400,0.00661,-73,8.47,,,,,34.400,0.01217,-55,42.82,34.400,0.03086,134,52.20,34.400,0.03866,97,86.58,34.400,0.05664,108,14.78,,,,
34.600,-0.12410,2616,-1160.79,34.600,0.00422,-25,-1.78,34.600,9.08886E-4,83,7.38,34.600,0.00734,139,29.10,34.600,0.01723,120,37.15,34.600,0.00987,-40,45.81,34.600,0.00666,-73,16.34,,,,,34.600,0.01233,-55,46.95,34.600,0.03102,139,54.60,34.600,0.03895,97,87.92,34.600,0.05672,113,29.86,,,,
34.800,-0.12253,2612,-974.70,34.800,0.00421,-25,-0.71,34.800,9.39848E-4,82,8.49,34.800,0.00744,140,30.13,34.800,0.01736,120,37.07,34.800,0.01004,-40,38.04,34.800,0.00677,-74,23.89,,,,,34.800,0.01248,-55,52.17,34.800,0.03121,142,60.73,34.800,0.03925,97,87.64,34.800,0.05684,125,50.68,,,,
35.000,-0.12917,2628,-821.11,35.000,0.00421,-25,-0.35,35.000,9.76986E-4,81,8.47,35.000,0.00755,139,31.96,35.000,0.01748,120,36.88,35.000,0.01011,-39,36.79,35.000,0.00684,-74,21.62,,,,,35.000,0.01266,-55,59.55,35.000,0.03143,144,66.16,35.000,0.03954,95,87.67,35.000,0.05704,143,73.39,,,,
35.200,-0.12655,2622,-1080.40,35.200,0.00422,-25,0.36,35.200,9.99288E-4,82,7.68,35.200,0.00765,141,34.17,35.200,0.01760,120,37.27,35.200,0.01023,-39,37.97,35.200,0.00690,-73,19.27,,,,,35.200,0.01289,-55,64.14,35.200,0.03166,143,69.39,35.200,0.03982,96,88.04,35.200,0.05734,150,93.03,,,,
35.400,-0.13651,2645,-814.93,35.400,0.00420,-25,1.07,35.400,0.00102,82,7.69,35.400,0.00777,142,36.68,35.400,0.01773,122,38.80,35.400,0.01041,-40,39.28,35.400,0.00695,-73,21.52,,,,,35.400,0.01311,-55,63.64,35.400,0.03189,146,71.90,35.400,0.04013,96,88.19,35.400,0.05769,152,105.56,,,,
35.600,-0.13681,2646,-853.93,35.600,0.00422,-25,1.78,35.600,0.00105,81,8.18,35.600,0.00790,142,38.21,35.600,0.01786,122,39.70,35.600,0.01049,-39,36.09,35.600,0.00704,-73,23.78,,,,,35.600,0.01331,-56,59.99,35.600,0.03214,145,73.55,35.600,0.04042,96,85.78,35.600,0.05805,149,114.51,,,,
35.800,-0.13521,2642,-547.17,35.800,0.00423,-26,1.78,35.800,0.00108,81,7.90,35.800,0.00803,141,37.96,35.800,0.01800,120,39.43,35.800,0.01063,-39,33.62,35.800,0.00713,-73,23.39,,,,,35.800,0.01351,-56,56.59,35.800,0.03239,145,74.14,35.800,0.04071,93,81.05,35.800,0.05844,148,122.20,,,,
36.000,-0.14492,2664,-188.14,36.000,0.00423,-26,-0.36,36.000,0.00110,81,6.78,36.000,0.00816,141,36.07,36.000,0.01812,122,38.23,36.000,0.01074,-39,28.03,36.000,0.00720,-74,24.23,,,,,36.000,0.01369,-55,46.04,36.000,0.03263,145,73.72,36.000,0.04096,92,78.16,36.000,0.05888,148,126.54,,,,
36.200,-0.13933,2652,-10.79,36.200,0.00423,-26,-1.07,36.200,0.00113,81,5.83,36.200,0.00828,141,33.80,36.200,0.01825,122,37.15,36.200,0.01084,-40,16.56,36.200,0.00727,-73,25.26,,,,,36.200,0.01386,-55,29.44,36.200,0.03287,144,72.57,36.200,0.04121,92,77.85,36.200,0.05930,144,122.75,,,,
36.400,-0.13645,2645,-565.67,36.400,0.00421,-25,-1.42,36.400,0.00114,81,5.48,36.400,0.00838,140,32.73,36.400,0.01837,121,37.35,36.400,0.01084,-39,6.01,36.400,0.00739,-74,26.26,,,,,36.400,0.01388,-55,13.67,36.400,0.03312,144,71.25,36.400,0.04148,94,80.73,36.400,0.05972,143,115.07,,,,
36.600,-0.14390,2662,-1291.15,36.600,0.00422,-25,-1.07,36.600,0.00116,81,6.11,36.600,0.00848,142,33.74,36.600,0.01850,123,38.85,36.600,0.01086,-39,1.13,36.600,0.00744,-73,24.50,,,,,36.600,0.01391,-56,5.20,36.600,0.03335,143,70.87,36.600,0.04174,96,83.25,36.600,0.06006,138,111.90,,,,
36.800,-0.15167,2678,-1044.77,36.800,0.00421,-25,0.00,36.800,0.00118,80,7.56,36.800,0.00860,143,35.00,36.800,0.01863,125,40.73,36.800,0.01084,-39,-0.38,36.800,0.00755,-74,24.37,,,,,36.800,0.01391,-56,0.01,36.800,0.03358,144,71.25,36.800,0.04204,94,84.13,36.800,0.06043,142,115.57,,,,
37.000,-0.14994,2675,-738.14,37.000,0.00421,-25,0.71,37.000,0.00121,80,7.87,37.000,0.00873,142,34.38,37.000,0.01877,124,41.94,37.000,0.01087,-39,-2.30,37.000,0.00760,-73,25.96,,,,,37.000,0.01393,-56,-4.19,37.000,0.03383,144,71.15,37.000,0.04231,93,84.40,37.000,0.06083,142,119.79,,,,
37.200,-0.15131,2678,-983.98,37.200,0.00422,-25,1.42,37.200,0.00124,79,6.65,37.200,0.00884,141,32.30,37.200,0.01891,124,42.49,37.200,0.01083,-38,-2.30,37.200,0.00772,-73,27.27,,,,,37.200,0.01386,-54,-2.94,37.200,0.03406,143,70.30,37.200,0.04259,95,84.94,37.200,0.06125,141,119.15,,,,
37.400,-0.15903,2693,-1066.62,37.400,0.00422,-25,1.42,37.400,0.00125,79,4.99,37.400,0.00894,141,31.34,37.400,0.01905,127,42.73,37.400,0.01083,-38,1.15,37.400,0.00779,-72,28.61,,,,,37.400,0.01388,-55,-0.43,37.400,0.03429,140,69.74,37.400,0.04288,95,84.22,37.400,0.06162,138,116.63,,,,
37.600,-0.16226,2700,-801.08,37.600,0.00423,-26,0.36,37.600,0.00127,79,4.94,37.600,0.00904,141,32.42,37.600,0.01919,126,42.22,37.600,0.01083,-38,4.22,37.600,0.00791,-73,26.89,,,,,37.600,0.01391,-55,4.20,37.600,0.03453,143,69.40,37.600,0.04317,92,81.83,37.600,0.06201,139,117.43,,,,
37.800,-0.16032,2696,-625.56,37.800,0.00424,-26,-0.71,37.800,0.00128,80,5.89,37.800,0.00915,141,34.58,37.800,0.01934,124,40.22,37.800,0.01088,-40,1.53,37.800,0.00799,-73,25.27,,,,,37.800,0.01388,-55,1.69,37.800,0.03476,142,69.16,37.800,0.04342,94,79.09,37.800,0.06240,139,119.54,,,,
38.000,-0.16604,2707,-376.32,38.000,0.00421,-25,-1.07,38.000,0.00131,79,7.31,38.000,0.00927,143,36.54,38.000,0.01947,125,37.97,38.000,0.01086,-39,-0.39,38.000,0.00806,-73,23.53,,,,,38.000,0.01395,-57,-2.51,38.000,0.03498,141,69.13,38.000,0.04369,92,78.07,38.000,0.06283,138,116.85,,,,
38.200,-0.16776,2711,-413.55,38.200,0.00422,-25,-9.77E-4,38.200,0.00133,80,8.16,38.200,0.00940,143,37.73,38.200,0.01958,126,36.38,38.200,0.01083,-38,1.15,38.200,0.00814,-73,23.22,,,,,38.200,0.01387,-54,-2.52,38.200,0.03522,143,69.43,38.200,0.04394,92,78.73,38.200,0.06321,138,113.55,,,,
38.400,-0.16234,2700,-893.20,38.400,0.00422,-25,0.71,38.400,0.00137,79,7.01,38.400,0.00952,144,37.35,38.400,0.01971,125,37.60,38.400,0.01087,-39,4.62,38.400,0.00822,-74,24.50,,,,,38.400,0.01386,-54,-1.27,38.400,0.03545,140,68.83,38.400,0.04421,94,78.52,38.400,0.06355,135,115.98,,,,
38.600,-0.17228,2719,-1537.64,38.600,0.00423,-26,0.00,38.600,0.00139,79,5.55,38.600,0.00965,142,37.21,38.600,0.01983,128,39.01,38.600,0.01089,-40,2.53,38.600,0.00829,-73,27.28,,,,,38.600,0.01391,-56,2.09,38.600,0.03568,141,66.96,38.600,0.04448,93,79.45,38.600,0.06395,139,126.73,,,,
38.800,-0.17938,2733,-1482.30,38.800,0.00422,-25,-1.07,38.800,0.00139,81,4.85,38.800,0.00976,144,38.02,38.800,0.01998,127,39.39,38.800,0.01090,-40,4.32,38.800,0.00840,-74,29.62,,,,,38.800,0.01388,-55,2.52,38.800,0.03590,141,64.57,38.800,0.04473,94,79.99,38.800,0.06440,141,139.20,,,,
39.000,-0.18148,2737,-550.05,39.000,0.00422,-25,-1.42,39.000,0.00142,80,6.98,39.000,0.00990,143,38.84,39.000,0.02009,128,39.81,39.000,0.01086,-39,12.87,39.000,0.00851,-73,31.04,,,,,39.000,0.01390,-55,0.42,39.000,0.03611,140,62.67,39.000,0.04501,93,80.85,39.000,0.06489,141,145.08,,,,
39.200,-0.18279,2739,-196.67,39.200,0.00421,-25,-0.36,39.200,0.00144,80,8.20,39.200,0.01003,145,38.21,39.200,0.02023,129,39.89,39.200,0.01099,-40,25.95,39.200,0.00859,-73,33.17,,,,,39.200,0.01393,-56,-2.09,39.200,0.03631,138,62.53,39.200,0.04527,93,82.46,39.200,0.06539,141,143.95,,,,
39.400,-0.17987,2734,-481.75,39.400,0.00421,-25,1.07,39.400,0.00148,78,6.52,39.400,0.01016,143,35.43,39.400,0.02037,129,40.40,39.400,0.01106,-39,39.52,39.400,0.00872,-73,36.50,,,,,39.400,0.01387,-54,-4.61,39.400,0.03652,140,63.13,39.400,0.04555,95,83.68,39.400,0.06586,137,140.32,,,,
39.600,-0.18492,2743,-1118.88,39.600,0.00422,-25,1.78,39.600,0.00149,79,5.81,39.600,0.01027,142,34.46,39.600,0.02050,129,40.62,39.600,0.01122,-39,49.97,39.600,0.00886,-73,40.09,,,,,39.600,0.01386,-54,0.00,39.600,0.03674,140,61.95,39.600,0.04584,94,83.78,39.600,0.06631,140,141.76,,,,
39.800,-0.18898,2750,-1372.53,39.800,0.00423,-26,1.07,39.800,0.00149,80,5.50,39.800,0.01037,143,36.15,39.800,0.02063,128,41.42,39.800,0.01142,-39,58.23,39.800,0.00897,-73,39.50,,,,,39.800,0.01387,-54,4.19,39.800,0.03694,138,59.65,39.800,0.04612,93,82.63,39.800,0.06678,142,148.26,,,,
40.000,-0.19606,2762,-1100.23,40.000,0.00423,-26,0.36,40.000,0.00154,78,7.01,40.000,0.01051,144,39.61,40.000,0.02078,130,42.39,40.000,0.01162,-39,62.59,40.000,0.00914,-73,36.50,,,,,40.000,0.01393,-56,-0.41,40.000,0.03713,136,59.39,40.000,0.04638,93,81.83,40.000,0.06731,139,153.85,,,,
40.200,-0.19618,2763,-727.06,40.200,0.00423,-26,0.36,40.200,0.00154,80,7.31,40.200,0.01065,145,41.39,40.200,0.02092,130,41.88,40.200,0.01182,-39,67.20,40.200,0.00923,-73,35.40,,,,,40.200,0.01389,-55,-5.44,40.200,0.03733,139,61.77,40.200,0.04666,94,82.70,40.200,0.06782,139,156.11,,,,
40.400,-0.19972,2769,-358.93,40.400,0.00423,-26,0.71,40.400,0.00158,79,7.13,40.400,0.01079,144,40.99,40.400,0.02106,131,41.46,40.400,0.01207,-39,71.24,40.400,0.00934,-73,36.21,,,,,40.400,0.01384,-53,-1.25,40.400,0.03754,142,63.79,40.400,0.04693,94,83.35,40.400,0.06834,137,154.60,,,,
40.600,-0.19986,2769,-275.39,40.600,0.00424,-26,4.89E-4,40.600,0.00160,80,7.57,40.600,0.01092,145,39.79,40.600,0.02119,131,41.49,40.600,0.01231,-39,70.11,40.600,0.00949,-73,40.14,,,,,40.600,0.01386,-54,6.25,40.600,0.03776,140,64.52,40.600,0.04722,93,83.00,40.600,0.06887,136,152.73,,,,
40.800,-0.19956,2768,-409.57,40.800,0.00424,-26,-2.13,40.800,0.00163,80,6.77,40.800,0.01106,144,38.48,40.800,0.02134,130,41.75,40.800,0.01255,-39,63.98,40.800,0.00960,-73,43.90,,,,,40.800,0.01394,-56,3.80,40.800,0.03797,140,65.71,40.800,0.04749,93,81.87,40.800,0.06936,136,149.74,,,,
41.000,-0.20185,2772,-946.74,41.000,0.00422,-25,-2.49,41.000,0.00165,80,6.52,41.000,0.01118,144,37.32,41.000,0.02147,130,42.80,41.000,0.01274,-39,56.90,41.000,0.00976,-74,50.06,,,,,41.000,0.01391,-56,-6.36,41.000,0.03819,143,68.22,41.000,0.04776,92,80.31,41.000,0.06986,136,148.87,,,,
41.200,-0.20592,2779,-986.00,41.200,0.00420,-25,-0.71,41.200,0.00167,79,6.91,41.200,0.01130,143,35.67,41.200,0.02161,133,43.08,41.200,0.01293,-39,53.76,41.200,0.00994,-73,,,,,,41.200,0.01386,-54,-9.51,41.200,0.03843,143,71.07,41.200,0.04803,92,80.22,41.200,0.07034,133,152.67,,,,
41.400,-0.21244,2789,-355.97,41.400,0.00422,-25,0.71,41.400,0.00169,80,7.29,41.400,0.01142,143,35.46,41.400,0.02177,132,42.13,41.400,0.01308,-39,53.02,,,,,,,,,41.400,0.01381,-55,-6.67,41.400,0.03867,142,72.19,41.400,0.04829,93,82.67,41.400,0.07086,133,155.26,,,,
41.600,-0.20870,2783,121.67,41.600,0.00422,-25,1.06,41.600,0.00173,79,7.17,41.600,0.01153,145,36.59,41.600,0.02190,131,40.04,41.600,0.01329,-39,53.50,,,,,,,,,41.600,0.01385,-56,-1.95,41.600,0.03892,142,71.95,41.600,0.04857,95,85.94,41.600,0.07141,132,157.15,,,,
41.800,-0.20619,2779,253.84,41.800,0.00421,-25,1.07,41.800,0.00173,80,7.53,41.800,0.01166,144,37.56,41.800,0.02203,130,38.72,41.800,0.01344,-39,55.72,,,,,,,,,41.800,0.01379,-54,-0.87,41.800,0.03915,143,71.16,41.800,0.04888,95,86.13,41.800,0.07190,136,158.28,,,,
